"synsetid","sampleid","sample"
"300467240","2","the aggregated amount of indebtedness"
"300467737","1","I bought a knockdown chest at the do-it-yourself store"
"300468574","1","ambition is immanent in human nature"
"300468574","2","we think of God as immanent in nature"
"300468795","1","armed with permeative irony...he punctures affectations"
"300468795","2","the pervasive odor of garlic"
"300468795","3","an error is pervasive if it is material to more than one conclusion"
"300469170","1","whereas `each\,' `every\,' `either\,' `neither\,' and `none' are distributive or referring to a single member of a group\, `which' in `which of the men' is separative"
"300469468","1","suffusive purple light"
"300469767","1","these advertised products"
"300469879","1","the royal couple's much heralded world tour"
"300469999","1","published accounts"
"300470372","1","hushed-up stories sometimes leak out"
"300470528","1","the quelled rebellion"
"300470528","2","an uprising quenched almost before it started"
"300470528","3","a squelched rumor"
"300470719","1","someone leaked the unreleased announcement"
"300470719","2","a film that remained unreleased for years"
"300470930","1","the complete published works Dickens"
"300471072","1","unpublished letters and diaries"
"300471348","1","his reported opinion"
"300471348","2","the reported findings"
"300471572","1","according to historians"
"300471698","1","a notifiable disease"
"300471842","1","years of research produced no reportable results"
"300471966","1","unreported results"
"300472057","1","reportable income"
"300472177","1","very little income is unreportable"
"300473869","1","an incendiary agent"
"300473869","2","incendiary bombs"
"300474620","1","an explosive device"
"300474620","2","explosive gas"
"300474620","3","explosive force"
"300474620","4","explosive violence"
"300474620","5","an explosive temper"
"300475008","1","nonexplosive gases"
"300475008","2","a nonexplosive fuel"
"300475125","1","the lighted candles"
"300475125","2","a lighted cigarette"
"300475125","3","a lit firecracker"
"300475308","1","forests set ablaze (or afire) by lightning"
"300475308","2","even the car's tires were aflame"
"300475308","3","a night aflare with fireworks"
"300475308","4","candles alight on the tables"
"300475308","5","houses on fire"
"300475625","1","the ignited paper"
"300475625","2","a kindled fire"
"300475749","1","the table was bare\, the candles unlighted"
"300475749","2","held an unlit cigarette"
"300475996","1","a commodious harbor"
"300475996","2","a commodious building suitable for conventions"
"300476249","1","a roomy but sparsely furnished apartment"
"300476249","2","a spacious ballroom"
"300476494","1","incommodious hotel accommodations"
"300476663","1","cramped quarters"
"300476663","2","trying to bring children up in cramped high-rise apartments"
"300476819","1","comfortable clothes"
"300476819","2","comfortable suburban houses"
"300476819","3","made himself comfortable in an armchair"
"300476819","4","the antihistamine made her feel more comfortable"
"300476819","5","are you comfortable?"
"300476819","6","feeling comfy now?"
"300477284","1","a cozy nook near the fire"
"300477284","2","snug in bed"
"300477284","3","a snug little apartment"
"300477553","1","soft light that was easy on the eyes"
"300477661","1","the homely everyday atmosphere"
"300477661","2","a homey little inn"
"300477896","1","a soothing ointment for her sunburn"
"300478015","1","an uncomfortable chair"
"300478015","2","an uncomfortable day in the hot sun"
"300478311","1","my throat feels bad"
"300478311","2","she felt bad all over"
"300478311","3","he was feeling tough after a restless night"
"300478590","1","a comfortless room"
"300478685","1","bites of black flies are more than irritating; they can be very painful"
"300478872","1","a wet miserable weekend"
"300478872","2","spent a wretched night on the floor"
"300479192","1","made things warm for the bookies"
"300479330","1","was settled in a comfortable job\, one for which he was well prepared"
"300479330","2","the comfortable thought that nothing could go wrong"
"300479330","3","was comfortable in his religious beliefs"
"300479330","4","she's a comfortable person to be with"
"300479330","5","she felt comfortable with her fiance's parents"
"300479783","1","the news make her feel comforted"
"300479933","1","this kind of life can prove disruptive and uncomfortable"
"300479933","2","the uncomfortable truth"
"300479933","3","grew uncomfortable beneath his appraising eye"
"300479933","4","an uncomfortable way of surprising me just when I felt surest"
"300479933","5","the teacher's presence at the conference made the child very uncomfortable"
"300480439","1","awkward and reserved at parties"
"300480439","2","ill at ease among eddies of people he didn't know"
"300480439","3","was always uneasy with strangers"
"300480753","1","the disquieting sounds of nearby gunfire"
"300480965","1","self-conscious teenagers"
"300480965","2","wondered if she could ever be untidy without feeling self-conscious about it"
"300481222","1","pay should be commensurate with the time worked"
"300481592","1","hours and minutes are commensurable"
"300481855","1","a reward incommensurate with his effort"
"300482227","1","proportionate representation of a minority group"
"300482452","1","among the states Connecticut has a high per capita income"
"300482673","1","the punishment ought to be proportional to the crime"
"300482673","2","earnings relative to production"
"300483146","1","commercial trucker"
"300483146","2","commercial TV"
"300483146","3","commercial diamonds"
"300483481","1","Christmas has become a commercialized spectacle"
"300483650","1","the mercantile North was forging ahead"
"300483816","1","a commercial book"
"300483816","2","preached a mercantile and militant patriotism"
"300483816","3","a mercenary enterprise"
"300483816","4","a moneymaking business"
"300484070","1","analysts content that the stock market is due for a technical rally"
"300484070","2","the fall is only a technical correction"
"300484538","1","the company cannot afford to do blue-sky research"
"300484782","1","might prove arty and hence uncommercial"
"300485044","1","a residential hotel"
"300485044","2","a residential quarter"
"300485044","3","a residential college"
"300485044","4","residential zoning"
"300485252","1","the commercial or nonresidential areas of a town"
"300485252","2","community colleges are typically nonresidential"
"300485711","1","the common man"
"300485711","2","a common sailor"
"300485711","3","the common cold"
"300485711","4","a common nuisance"
"300485711","5","followed common procedure"
"300485711","6","it is common knowledge that she lives alone"
"300485711","7","the common housefly"
"300485711","8","a common brand of soap"
"300486290","1","average people"
"300486290","2","the ordinary (or common) man in the street"
"300486539","1","democratic art forms"
"300486539","2","a democratic or popular movement"
"300486539","3","popular thought"
"300486539","4","popular science"
"300486539","5","popular fiction"
"300486819","1","demotic entertainments"
"300486819","2","demotic speech"
"300486819","3","a poet with a keen ear for demotic rhythms"
"300486990","1","a frequent (or common) error is using the transitive verb `lay' for the intransitive `lie'"
"300487198","1","the general discontent"
"300487327","1","a grassroots movement for nuclear disarmament"
"300487525","1","standard procedure"
"300487525","2","standard car equipment"
"300487653","1","uncommon birds"
"300487653","2","frost and floods are uncommon during these months"
"300487653","3","doing an uncommon amount of business"
"300487653","4","an uncommon liking for money"
"300487653","5","he owed his greatest debt to his mother's uncommon character and ability"
"300488187","1","he paid especial attention to her"
"300488187","2","exceptional kindness"
"300488187","3","a matter of particular and unusual importance"
"300488187","4","a special occasion"
"300488187","5","a special reason to confide in her"
"300488187","6","what's so special about the year 2000?"
"300488561","1","a rare word"
"300488561","2","rare books"
"300488697","1","the maitre d' gave them the red-carpet treatment"
"300488857","1","two-career families are no longer unusual"
"300488998","1","an unwonted softness in her face"
"300489108","1","grew the usual vegetables"
"300489108","2","the usual summer heat"
"300489108","3","came at the usual time"
"300489108","4","the child's usual bedtime"
"300489491","1","his accustomed thoroughness"
"300489491","2","took his customary morning walk"
"300489491","3","his habitual comment"
"300489491","4","with her wonted candor"
"300489768","1","a chronic smoker"
"300489863","1","took his regular morning walk"
"300489863","2","her regular bedtime"
"300490035","1","a scene of unusual beauty"
"300490035","2","a man of unusual ability"
"300490035","3","cruel and unusual punishment"
"300490035","4","an unusual meteorite"
"300490413","1","advertising that strives continually to be different"
"300490413","2","this new music is certainly different but I don't really like it"
"300490650","1","an ambassador extraordinary"
"300490845","1","it is odd that his name is never mentioned"
"300490979","1","out-of-the-way information"
"300491089","1","a peculiar hobby of stuffing and mounting bats"
"300491089","2","a man...feels it a peculiar insult to be taunted with cowardice by a woman"
"300491320","1","an unaccustomed pleasure"
"300491320","2","many varieties of unaccustomed foods"
"300491320","3","a new budget of unaccustomed austerity"
"300491511","1","spoke with a unique accent"
"300491511","2","had unique ability in raising funds"
"300491511","3","a frankness unique in literature"
"300491511","4","a unique dining experience"
"300492677","1","for the common good"
"300492677","2","common lands are set aside for use by all members of a community"
"300493012","1","dipping each his bread into a communal dish of stew"
"300493012","2","a communal settlement in which all earnings and food were shared"
"300493012","3","a group effort"
"300493297","1","community leaders"
"300493297","2","community interests"
"300493297","3","the public welfare"
"300493460","1","individual drops of rain"
"300493460","2","please mark the individual pages"
"300493460","3","they went their individual ways"
"300493820","1","we all have our own idiosyncratic gestures"
"300493820","2","Michelangelo's highly idiosyncratic style of painting"
"300494027","1","an individualistic way of dressing"
"300494198","1","one-on-one defense"
"300494409","1","the respective club members"
"300494409","2","specialists in their several fields"
"300494409","3","the various reports all agreed"
"300494622","1","can the singular person be understood apart from his culture?"
"300494622","2","every fact in the world might be singular...unlike any other fact and sole of its kind"
"300494907","1","was a communicative person and quickly told all she knew"
"300495916","1","anecdotal conversation"
"300495916","2","an anecdotal history of jazz"
"300495916","3","he was at his anecdotic best"
"300496569","1","communicable ideas"
"300496670","1","he had few communicational grooves available for use"
"300496938","1","wine made the guest expansive"
"300497148","1","a very expressive face"
"300497808","1","her gesticulating hands and arms made words almost unnecessary"
"300497964","1","the study of gestural communication"
"300497964","2","art like gesture is a form of nonverbal expression"
"300498286","1","the Beatles were heraldic of a new style of music"
"300498912","1","narrative poetry"
"300499062","1","a nonverbal intelligence test"
"300499183","1","rural students often come from nonverbal backgrounds"
"300499315","1","openhearted advice"
"300499530","1","outspoken in their opposition to segregation"
"300499530","2","a vocal assembly"
"300500310","1","verbal imagery"
"300500310","2","a verbal protest"
"300500889","1","a blank stare"
"300501004","1","although they knew her whereabouts her friends kept close about it"
"300501313","1","deadpan humor"
"300501313","2","his face remained expressionless as the verdict was read"
"300501552","1","a prisoner held incommunicado"
"300501552","2","incommunicado political detainees"
"300501723","1","an inexpressive face"
"300501820","1","the witness remained silent"
"300501998","1","an unpronounceable foreign word"
"300501998","2","unutterable consonant clusters"
"300502180","1","compact soil"
"300502180","2","compact clusters of flowers"
"300502487","1","the clayey soil was heavy and easily saturated"
"300502809","1","an impacted tooth"
"300502922","1","packed snow"
"300503020","1","in serried ranks"
"300503157","1","they stood in a tight little group"
"300503157","2","hair in tight curls"
"300503157","3","the pub was packed tight"
"300503321","1","loose gravel"
"300503527","1","light soil"
"300503664","1","shifting sands"
"300503664","2","unfirm earth"
"300503780","1","silty soil"
"300503876","1","unconsolidated soil"
"300504172","1","pianists of comparable ability"
"300504172","2","cars comparable with each other in terms of fuel consumption"
"300504431","1","at that moment nothing in the world seemed comparable to sleep"
"300504592","1","an incomparable week of rest and pleasure"
"300504592","2","the computer proceeds with its incomparable logic and efficiency"
"300504592","3","this report is incomparable with the earlier ones because of different breakdowns of the data"
"300505086","1","prices at an all-time high"
"300505086","2","morale at an all-time low"
"300505086","3","among the all-time great lefthanders"
"300505410","1","matchless beauty"
"300505410","2","the team's nonpareil center fielder"
"300505410","3","she's one girl in a million"
"300505410","4","the one and only Muhammad Ali"
"300505410","5","a peerless scholar"
"300505410","6","infamy unmatched in the Western world"
"300505410","7","wrote with unmatchable clarity"
"300505410","8","unrivaled mastery of her art"
"300505853","1","he is alone in the field of microbiology"
"300505853","2","this theory is altogether alone in its penetration of the problem"
"300505853","3","Bach was unique in his handling of counterpoint"
"300505853","4","craftsmen whose skill is unequaled"
"300505853","5","unparalleled athletic ability"
"300505853","6","a breakdown of law unparalleled in our history"
"300506299","1","heard the soft and compassionate voices of women"
"300506601","1","caring friends"
"300506852","1","a noble tenderhearted creature who sympathizes with all the human race"
"300507053","1","nor silver-shedding tears could penetrate her uncompassionate sire"
"300507292","1","an unfeeling wretch"
"300507464","1","a compatible married couple"
"300507464","2","her deeds were compatible with her ideology"
"300508036","1","harmonious family relationships"
"300508192","1","incompatible personalities"
"300508192","2","incompatible colors"
"300508592","1","clashing interests of loggers and conservationists"
"300508592","2","clashing colors"
"300510050","1","a competent typist"
"300510348","1","able teachers"
"300510348","2","a capable administrator"
"300510348","3","children as young as 14 can be extremely capable and dependable"
"300510644","1","people who will do nothing unless they get something out of it for themselves are often highly effective persons..."
"300510644","2","effective personnel"
"300510644","3","an efficient secretary"
"300510644","4","the efficient cause of the revolution"
"300511037","1","a competent job"
"300511037","2","the book is a workmanlike job with chronology and bibliography and index"
"300511214","1","an incompetent secret service"
"300511214","2","the filming was hopeless incompetent"
"300511526","1","feckless attempts to repair the plumbing"
"300511526","2","inept handling of the account"
"300511739","1","an ineffective administration"
"300511739","2","inefficient workers"
"300511966","1","an unworkmanlike result"
"300511966","2","an unworkmanlike tool"
"300512130","1","a competent court"
"300512130","2","competent testimony"
"300512261","1","a wife is usually considered unqualified to testify against her husband"
"300512261","2","incompetent witnesses"
"300512487","1","competitive games"
"300512487","2","to improve one's competitive position"
"300512769","1","a dialectical and agonistic approach"
"300513048","1","matched teams"
"300513165","1","noncompetitive positions"
"300513165","2","noncompetitive interest in games"
"300513799","1","a complaining boss"
"300513981","1","a whiny child"
"300514278","1","uncomplaining courage"
"300514396","1","compressible packing materials"
"300514396","2","a compressible box"
"300514613","1","compressed air"
"300514717","1","mounds of incompressible garbage"
"300514884","1","gave his whole attention"
"300514884","2","a whole wardrobe for the tropics"
"300514884","3","the whole hog"
"300514884","4","a whole week"
"300514884","5","the baby cried the whole trip home"
"300514884","6","a whole loaf of bread"
"300515380","1","an entire town devastated by an earthquake"
"300515380","2","gave full attention"
"300515380","3","a total failure"
"300515622","1","a full-length portrait"
"300515753","1","a full-page ad"
"300515870","1","a local motion keepeth bodies integral"
"300515870","2","was able to keep the collection entire during his lifetime"
"300515870","3","fought to keep the union intact"
"300516231","1","all the livelong day"
"300516360","1","an undivided interest in the property"
"300516360","2","a full share"
"300516539","1","a fractional share of the vote"
"300516539","2","a partial dose"
"300517010","1","American divisional (fractional) coins include the dime and the nickel"
"300517010","2","fractional currency is currency in denominations less than the basic monetary unit"
"300517314","1","fragmentary remains"
"300517554","1","a half chicken"
"300517554","2","lasted a half hour"
"300517710","1","halfway measures"
"300517916","1","whole brothers and sisters"
"300518035","1","a half brother"
"300518035","2","half sister"
"300518164","1","committed church members"
"300518164","2","a committed Marxist"
"300518405","1","bound up in her teaching"
"300518405","2","is wrapped up in his family"
"300518549","1","according to an early tradition became his sworn brother"
"300518549","2","sworn enemies"
"300518848","1","a fancy-free bachelor"
"300518981","1","floating voters"
"300519103","1","undecided voters"
"300519211","1","a dedicated dancer"
"300519211","2","dedicated teachers"
"300519211","3","dedicated to the proposition that all men are created equal"
"300519477","1","large sums devoted to the care of the poor"
"300519477","2","a life devoted to poetry"
"300519668","1","a devoted husband and father"
"300519668","2","devoted friends"
"300519823","1","a fund sacred to charity"
"300519823","2","a morning hour sacred to study"
"300519823","3","a private office sacred to the President"
"300520081","1","the playground has been completed but is still undedicated"
"300520214","1","a complete meal"
"300520214","2","a complete wardrobe"
"300520214","3","a complete set of the Britannica"
"300520214","4","a complete set of china"
"300520214","5","a complete defeat"
"300520214","6","a complete accounting"
"300520892","1","absolute freedom"
"300520892","2","an absolute dimwit"
"300520892","3","a downright lie"
"300520892","4","out-and-out mayhem"
"300520892","5","an out-and-out lie"
"300520892","6","a rank outsider"
"300520892","7","many right-down vices"
"300520892","8","got the job through sheer persistence"
"300520892","9","sheer stupidity"
"300521329","1","his mission accomplished he took a vacation"
"300521329","2","the completed project"
"300521329","3","the joy of a realized ambition overcame him"
"300521584","1","became all attention"
"300521811","1","all-out war"
"300521811","2","a full-scale campaign against nuclear power plants"
"300521976","1","an allover pattern"
"300521976","2","got an allover tan"
"300522101","1","a clean getaway"
"300522101","2","a clean sweep"
"300522101","3","a clean break"
"300522240","1","a completed forward pass"
"300522349","1","came to a dead stop"
"300522349","2","utter seriousness"
"300522463","1","an exhaustive study"
"300522463","2","made a thorough search"
"300522463","3","thoroughgoing research"
"300522680","1","did not spring full-clad from his imagination"
"300522680","2","a plan fleshed out with statistics and details"
"300522885","1","a full game"
"300522885","2","a total eclipse"
"300522885","3","a total disaster"
"300523068","1","a full-blown financial crisis"
"300523229","1","a full-dress debate"
"300523229","2","a full-dress investigation"
"300523364","1","had a good workout"
"300523364","2","gave the house a good cleaning"
"300523479","1","hearty support"
"300523587","1","the university is like a self-contained city with shops and all amenities"
"300523786","1","a sound thrashing"
"300523978","1","an incomplete account of his life"
"300523978","2","political consequences of incomplete military success"
"300523978","3","an incomplete forward pass"
"300524388","1","a broken set of encyclopedia"
"300524496","1","gave me a half smile"
"300524496","2","he did only a half job"
"300524693","1","a partial description of the suspect"
"300524693","2","partial collapse"
"300524693","3","a partial eclipse"
"300524693","4","a partial monopoly"
"300524693","5","partial immunity"
"300524965","1","rudimentary plans"
"300525105","1","a sketchy account"
"300525105","2","details of the plan remain sketchy"
"300525315","1","an uncompleted pass"
"300525453","1","comprehensive coverage"
"300525453","2","a comprehensive history of the revolution"
"300525453","3","a comprehensive survey"
"300525453","4","a comprehensive education"
"300526062","1","across-the-board pay increases"
"300526062","2","an all-embracing definition"
"300526062","3","blanket sanctions against human-rights violators"
"300526062","4","an invention with broad applications"
"300526062","5","a panoptic study of Soviet nationality"
"300526062","6","granted him wide powers"
"300526541","1","an all-around athlete"
"300526541","2","a well-rounded curriculum"
"300526696","1","citywide bussing"
"300526696","2","a citywide strike"
"300526832","1","a countywide war on drugs"
"300526832","2","countywide elections"
"300526984","1","the event aroused nationwide interest"
"300526984","2","a countrywide fund-raising campaign"
"300527188","1","an issue of cosmopolitan import"
"300527188","2","the shrewdest political and ecumenical comment of our time"
"300527188","3","universal experience"
"300527551","1","a door-to-door campaign"
"300527551","2","house-to-house coverage"
"300527744","1","encyclopedic knowledge"
"300527870","1","taking the large view"
"300527870","2","a large effect"
"300527870","3","a large sympathy"
"300528041","1","an omnibus law"
"300528167","1","a plenary session of the legislature"
"300528167","2","a diplomat with plenary powers"
"300528495","1","schoolwide support for the team"
"300528629","1","the statewide recycling program"
"300528761","1","a super experiment"
"300528875","1","an umbrella organization"
"300528875","2","umbrella insurance coverage"
"300529266","1","the performer seemed completely composed as she stepped onto the stage"
"300529266","2","I felt calm and more composed than I had in a long time"
"300529657","1","spoke in a calm voice"
"300529657","2","remained calm throughout the uproar"
"300529657","3","he remained serene in the midst of turbulence"
"300529657","4","a serene expression on her face"
"300529657","5","she became more tranquil"
"300529657","6","tranquil life in the country"
"300530047","1","hitherto imperturbable\, he now showed signs of alarm"
"300530047","2","an imperturbable self-possession"
"300530047","3","unflappable in a crisis"
"300530354","1","the witness remained collected throughout the cross-examination"
"300530354","2","perfectly poised and sure of himself"
"300530354","3","more self-contained and more dependable than many of the early frontiersmen"
"300530354","4","strong and self-possessed in the face of trouble"
"300530772","1","play it cool"
"300530772","2","keep cool"
"300530772","3","stayed coolheaded in the crisis"
"300530772","4","the most nerveless winner in the history of the tournament"
"300531087","1","the waiters were unflurried and good natured"
"300531087","2","with contented mind and unruffled spirit"
"300531342","1","looked about with a wandering and discomposed air"
"300531628","1","felt abashed at the extravagant praise"
"300531628","2","chagrined at the poor sales of his book"
"300531628","3","was embarrassed by her child's tantrums"
"300531887","1","the blushing boy was brought before the Principal"
"300531887","2","her blushful beau"
"300531887","3","was red-faced with anger"
"300532147","1","refused to be fazed by the objections"
"300532288","1","the hecklers pelted the discombobulated speaker with anything that came to hand"
"300532288","2","looked at each other dumbly\, quite disconcerted"
"300532753","1","the incident left him unstrung and incapable of rational effort"
"300532892","1","an idea comprehensible to the average mind"
"300533221","1","readily accessible to the nonprofessional reader"
"300533221","2","the tales seem more approachable than his more difficult novels"
"300533851","1","the most incomprehensible thing about the universe is that it is comprehensible"
"300534250","1","much that was dark is now quite clear to me"
"300534250","2","those who do not appreciate Kafka's work say his style is obscure"
"300534524","1","I didn't grasp the meaning of that enigmatic comment until much later"
"300534524","2","prophetic texts so enigmatic that their meaning has been disputed for centuries"
"300534918","1","impenetrable jargon"
"300535042","1","an indecipherable message"
"300535170","1","words lost in the din"
"300538565","1","their concentrated efforts"
"300538565","2","his concentrated attention"
"300538565","3","concentrated study"
"300538565","4","a narrow thread of concentrated ore"
"300539009","1","a compact shopping center"
"300539009","2","a dense population"
"300539009","3","thick crowds"
"300539009","4","a thick forest"
"300539009","5","thick hair"
"300539207","1","a desk heaped with books"
"300539207","2","heaped-up ears of corn"
"300539207","3","ungraded papers piled high"
"300539389","1","judging a contest with a single eye"
"300539389","2","a single devotion to duty"
"300539389","3","undivided affection"
"300539389","4","gained their exclusive attention"
"300539687","1","thickset trees"
"300540366","1","broken clouds"
"300540366","2","broken sunshine"
"300540487","1","a large diffuse organization"
"300540632","1","diffused light"
"300540826","1","medicines dispensed to the sick"
"300540977","1","has ties with many widely dispersed friends"
"300540977","2","eleven million Jews are spread throughout Europe"
"300541349","1","an encyclical letter"
"300541460","1","the peacock's fanned tail"
"300541460","2","the spread-out cards"
"300541614","1","far-flung trading operations"
"300541614","2","the West's far-flung mountain ranges"
"300541614","3","widespread nuclear fallout"
"300541823","1","low-density urban areas"
"300541935","1","got along as best we could on rationed meat and sugar"
"300542099","1","scattered showers"
"300542099","2","scattered villages"
"300542359","1","a thin beard"
"300542359","2","trees were sparse"
"300542501","1","with clothes wet by splashed water"
"300542660","1","straggly ivy"
"300542775","1","diversity...in our huge unfocused country"
"300542953","1","concentric rings"
"300543200","1","eccentric circles"
"300543603","1","concerned parents of youthful offenders"
"300543603","2","was concerned about the future"
"300543603","3","we feel concerned about accomplishing the task at hand"
"300543603","4","greatly concerned not to disappoint a small child"
"300543993","1","I'm afraid I won't be able to come"
"300543993","2","he was afraid he would have to let her go"
"300543993","3","I'm afraid you're wrong"
"300544231","1","She was afraid that I might be embarrassed"
"300544231","2","terribly afraid of offending someone"
"300544231","3","I am afraid we have witnessed only the first phase of the conflict"
"300544478","1","became more and more haunted by the stupid riddle"
"300544478","2","was absolutely obsessed with the girl"
"300544478","3","got no help from his wife who was preoccupied with the children"
"300544478","4","he was taken up in worry for the old woman"
"300544860","1","solicitous parents"
"300544860","2","solicitous about the future"
"300545015","1","the average American...is unconcerned that his or her plight is the result of a complex of personal and economic and governmental actions...beyond the normal citizen's comprehension and control"
"300545015","2","blithely unconcerned about his friend's plight"
"300545484","1","a blase attitude about housecleaning"
"300545600","1","spoke with blithe ignorance of the true situation"
"300545746","1","an ability to interest casual students"
"300545746","2","showed a casual disregard for cold weather"
"300545746","3","an utterly insouciant financial policy"
"300545746","4","an elegantly insouciant manner"
"300545746","5","drove his car with nonchalant abandon"
"300545746","6","was polite in a teasing nonchalant manner"
"300546155","1","adopted a degage pose on the arm of the easy chair"
"300546155","2","she may be detached or even unfeeling but at least she's not hypocritically effusive"
"300546155","3","an uninvolved bystander"
"300546452","1","indifferent to the sufferings of others"
"300546452","2","indifferent to her plea"
"300546646","1","a concise explanation"
"300546951","1","much given to apothegmatic instruction"
"300547166","1","covered the matter in a brief statement"
"300547317","1","a short and compendious book"
"300547317","2","a compact style is brief and pithy"
"300547317","3","succinct comparisons"
"300547317","4","a summary formulation of a wide-ranging subject"
"300547641","1","a crisp retort"
"300547641","2","a response so curt as to be almost rude"
"300547641","3","the laconic reply; `yes'"
"300547641","4","short and terse and easy to understand"
"300547930","1","a cryptic note"
"300548029","1","the dialogue is elliptic and full of dark hints"
"300548029","2","the explanation was concise\, even elliptical to the verge of obscurity"
"300548316","1","welcomed her pithy comments"
"300548316","2","the peculiarly sardonic and sententious style in which Don Luis composed his epigrams"
"300548579","1","telegraphic economy of words"
"300548579","2","the strange telegraphic speech of some aphasics"
"300548781","1","editing a prolix manuscript"
"300548781","2","a prolix lecturer telling you more than you want to know"
"300549133","1","a diffuse historical novel"
"300549236","1","long-winded (or windy) speakers"
"300549236","2","verbose and ineffective instructional methods"
"300549236","3","newspapers of the day printed long wordy editorials"
"300549236","4","proceedings were delayed by wordy disputes"
"300549675","1","you put me to forget a lady's manners by being so verbal"
"300549826","1","`a true fact' and `a free gift' are pleonastic expressions"
"300549826","2","the phrase `a beginner who has just started' is tautological"
"300549826","3","at the risk of being redundant I return to my original proposition"
"300550282","1","conclusive proof"
"300550282","2","the evidence is conclusive"
"300550574","1","a definitive verdict"
"300550574","2","a determinate answer to the problem"
"300550777","1","an inconclusive reply"
"300550777","2","inconclusive evidence"
"300550777","3","the inconclusive committee vote"
"300551120","1","the evidence from bacteriologic analysis was equivocal"
"300551267","1","an indeterminate campaign"
"300551416","1","as they approached the finish line they were neck and neck"
"300551416","2","the election was a nip and tuck affair"
"300551695","1","the decree is nisi and not absolute"
"300551806","1","a consummated transaction"
"300552168","1","an unconsummated marriage can be annulled"
"300552315","1","`and' in `John and Mary' or in `John walked and Mary rode' is a coordinating conjunction; and so is `or' in `will you go or stay?'"
"300552618","1","`when' in `I will come when I can' is a subordinating conjunction"
"300552841","1","a place perfectly accordant with man's nature"
"300553140","1","according to instructions"
"300553279","1","agreeable to the plan"
"300553594","1","a consensual contract"
"300553732","1","a unanimous decision"
"300553899","1","views discordant with present-day ideas"
"300554098","1","desires at variance with his duty"
"300554098","2","widely discrepant statements"
"300554478","1","the contracted pupils of her eyes"
"300554624","1","the contractile wings of an insect"
"300554879","1","partial paralysis resulted in an atrophied left arm"
"300555117","1","hypertrophied myocardial fibers"
"300555325","1","conditional acceptance of the terms"
"300555325","2","lent conditional support"
"300555325","3","the conditional sale will not be complete until the full purchase price is paid"
"300555859","1","arms sales contingent on the approval of congress"
"300556318","1","probationary employees"
"300556318","2","a provisional government"
"300556318","3","just a tentative schedule"
"300556611","1","a provisory clause"
"300556709","1","unconditional surrender"
"300556881","1","the blunt truth"
"300556881","2","the crude facts"
"300556881","3","facing the stark reality of the deadline"
"300557108","1","a vested right"
"300557304","1","an unenforceable law"
"300557304","2","unenforceable reforms"
"300557478","1","a life of enforced inactivity"
"300557478","2","enforced obedience"
"300557637","1","too many unenforced laws can breed contempt for law"
"300558612","1","a claustrophobic little room"
"300558738","1","close quarters"
"300559120","1","the airport was filled with stormbound passengers"
"300559271","1","weather-bound traffic"
"300559271","2","irritable weather-bound children"
"300559690","1","a crowded theater"
"300559690","2","a crowded program"
"300559690","3","crowded trains"
"300559690","4","a young mother's crowded days"
"300559930","1","give me...your huddled masses"
"300559930","2","the huddled sheep turned their backs against the wind"
"300560100","1","a suitcase jammed with dirty clothes"
"300560100","2","stands jam-packed with fans"
"300560100","3","a packed theater"
"300560284","1","I try to avoid the thronged streets and stores just before Christmas"
"300560453","1","an uncrowded train"
"300560453","2","an uncrowded view"
"300560586","1","a congenial atmosphere to work in"
"300560586","2","two congenial spirits united...by mutual confidence and reciprocal virtues"
"300560900","1","a sociable gathering"
"300561036","1","the uncongenial roommates were always fighting"
"300561036","2","the task was uncongenial to one sensitive to rebuffs"
"300561359","1","found the task disagreeable and decided to abandon it"
"300561359","2","a job temperamentally unsympathetic to him"
"300561757","1","coincident circles"
"300561896","1","identical triangles"
"300562308","1","the tailored clothes were harmonious with her military bearing"
"300562469","1","a plan incongruous with reason"
"300562469","2","incongruous behavior"
"300562469","3","a joke that was incongruous with polite conversation"
"300562909","1","completely inappropriate behavior"
"300563116","1","an inharmonious (or incongruous) mixture of architectural styles"
"300563288","1","madness\, an ironic fate for such a clear thinker"
"300563288","2","it was ironical that the well-planned scheme failed so completely"
"300563789","1","`and' is a copulative conjunction"
"300563980","1","connective remarks between chapters"
"300563980","2","connective tissue in animals"
"300563980","3","conjunctive tissue in plants"
"300564504","1","the adversative conjunction `but' in `poor but happy'"
"300564667","1","alternative possibilities were neutrality or war"
"300564858","1","disjunctive conjunctions like `but'\, `or'\, or `though' serve a contrastive function"
"300565115","1","the divisional line between two states"
"300565289","1","partitive tendencies in education"
"300565289","2","the uniting influence was stronger than the separative"
"300565799","1","conjunct motion of an ascending scale"
"300566342","1","Rhode Island has two bordering states; Massachusetts and Conncecticut"
"300566342","2","the side of Germany conterminous with France"
"300566342","3","Utah and the contiguous state of Idaho"
"300566342","4","neighboring cities"
"300566835","1","syllable to blessed syllable affined"
"300566961","1","the 48 conterminous states"
"300566961","2","the contiguous 48 states"
"300567287","1","engaged columns"
"300567414","1","a well-connected Edinburgh family"
"300567860","1","existed over the centuries as a world apart"
"300567860","2","preserved because they inhabited a place apart"
"300567860","3","tiny isolated villages remote from centers of civilization"
"300567860","4","an obscure village"
"300568171","1","asternal ribs"
"300568304","1","a detached part"
"300568304","2","on one side of the island was a hugh rock\, almost detached"
"300568304","3","the separated spacecraft will return to their home bases"
"300568658","1","the manufacturer provided an exploded view of the apparatus"
